2018-01-27T10:08:50.777+0800 I NETWORK  [conn8] received client metadata from 127.0.0.1:55663 conn8: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:09:00.772+0800 I COMMAND  [conn3] CMD: dropIndexes netease.users
2018-01-27T10:21:36.605+0800 I -        [conn2] end connection 127.0.0.1:55478 (7 connections now open)
2018-01-27T10:21:38.925+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56083 #9 (7 connections now open)
2018-01-27T10:21:38.934+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:56083 conn9: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:21:39.026+0800 I INDEX    [conn9] build index on: netease.users properties: { v: 2, unique: true, key: { username: 1 }, name: "username_1", ns: "netease.users", background: true }
2018-01-27T10:21:39.026+0800 I INDEX    [conn9] build index done.  scanned 0 total records. 0 secs
2018-01-27T10:21:49.613+0800 I -        [conn9] end connection 127.0.0.1:56083 (7 connections now open)
2018-01-27T10:22:34.347+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56147 #10 (7 connections now open)
2018-01-27T10:22:34.358+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:56147 conn10: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:22:35.670+0800 I -        [conn10] end connection 127.0.0.1:56147 (7 connections now open)
2018-01-27T10:22:39.351+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56159 #11 (7 connections now open)
2018-01-27T10:22:39.356+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:56159 conn11: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:24:05.003+0800 I -        [conn11] end connection 127.0.0.1:56159 (7 connections now open)
